鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段１４０號十四樓,12.62,商,,,1090427,土地1建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1111222,165.55,3,2,3,無,有,15500000,96715,坡道平面,24.93,1900000,預售屋、或土地及建物分件登記案件；,RPUUMLMLKHIGFBF68EA,86.1,3.24,9.51,有,
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段１４２號九樓,12.45,商,,,1090420,土地1建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1111222,163.01,3,2,2,無,有,14350000,90165,坡道平面,24.93,1900000,預售屋、或土地及建物分件登記案件；,RPRUMLMLKHIGFBF38EA,84.94,3.58,8.52,有,
樹林區,房地(土地+建物),新北市樹林區中山路一段３５之５號八樓,8.13,商,,,1090318,土地1建物1車位0,八層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110906,73.61,1,2,1,有,有,9580000,130145,,0.0,0,預售屋、或土地及建物分件登記案件；,RPVQMLNKKIHGFIF98DA,43.4,1.51,2.81,有,
樹林區,房地(土地+建物)+車位,新北市樹林區中山路一段３５之２號十二樓,14.32,商,,,1090328,土地1建物1車位1,十二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110906,165.53,3,2,2,有,有,18500000,131994,坡道平面,42.04,2200000,預售屋、或土地及建物分件登記案件；,RPROMLOKKIHGFIF48DA,69.45,2.65,7.93,有,
樹林區,房地(土地+建物),新北市樹林區中山路一段３５號七樓,15.8,商,,,1090328,土地1建物1車位0,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110906,145.43,3,2,2,有,有,18550000,127553,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQPMLOKKIHGFIF48DA,83.04,5.09,6.8,有,
中和區,房地(土地+建物)+車位,新北市中和區中山路二段５１７號八樓,7.25,住,,,1090306,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1111017,69.91,0,0,0,無,有,9280000,146842,升降機械,18.29,1700000,於111年9月26日購入車位乙個。預售屋、或土地及建物分件登記案件；,RPVRMLTJKIHGFHF86DA,29.25,1.46,2.76,有,
樹林區,房地(土地+建物),新北市樹林區中山路一段３５之５號七樓,8.13,商,,,1090307,土地1建物1車位0,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110906,73.61,1,2,1,有,有,9550000,129738,,0.0,0,預售屋、或土地及建物分件登記案件；,RPUQMLNKKIHGFIF88DA,43.4,1.51,2.81,有,
新店區,房地(土地+建物)+車位,新北市新店區央北一路３２號五樓,29.57,住,,,1090315,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1111102,159.95,2,2,2,有,有,25688998,183152,坡道平面,32.52,2350000,1.總價含工程減帳及面積找補款＄-161002元。預售屋、或土地及建物分件登記案件；,RPTOMLOKKIHGFCF08DA,79.1,0.0,5.16,有,
板橋區,房地(土地+建物)+車位,新北市板橋區藝文街７１號六樓,28.01,住,,,1090306,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110919,239.89,3,2,2,有,無,30150000,150704,坡道平面,71.68,4800000,二個停車位未拆分單價預售屋、或土地及建物分件登記案件；,RPOPMLOKKIHGFAF47DA,96.34,4.55,12.04,有,
中和區,房地(土地+建物),新北市中和區中山路二段５１７號五樓,7.25,住,,,1090314,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1111017,51.62,0,0,0,無,有,7280000,141031,,0.0,0,預售屋、或土地及建物分件登記案件；,RPTSMLOKKIHGFHF98DA,29.25,1.46,2.76,有,
