鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大安區,房地(土地+建物)+車位,臺北市大安區泰順街２６巷３號三樓,31.85,住,,,1111123,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970619,150.07,3,2,2,有,無,49880000,332378,塔式車位,11.77,0,其他增建；,RPSNMLPJKIHGFFA67DA,75.73,10.77,8.43,有,
文山區,房地(土地+建物),臺北市文山區羅斯福路六段３９巷４６號二樓,10.54,住,,,1111110,土地1建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960913,77.53999999999999,2,1,1,有,有,15500000,199897,,0.0,0,,RPPOMLRLKIHGFAA37DA,50.25,1.04,4.83,有,
北投區,房地(土地+建物),臺北市北投區立功街１００號八樓之１,10.75,工,,,1111129,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970403,54.010000000000005,1,1,1,有,有,7600000,140715,,0.0,0,,RPPOMLKLKIHGFEA07DA,33.33,0.0,2.55,有,
萬華區,房地(土地+建物),臺北市萬華區長泰街５９巷２２號,43.0,住,,,1111123,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631211,88.39,4,1,2,有,無,15600000,176491,,0.0,0,其他增建；,RPQNMLQLKIHGFBA37DA,88.39,0.0,0.0,無,
松山區,房地(土地+建物),臺北市松山區富錦街４４８號四樓,17.6,都市：其他:住宅用地(民生社區特定專用區)。,,,1111119,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670322,118.75,2,2,2,有,有,28000000,235789,,0.0,0,,RPOQMLMLJIHGFDA27EA,95.94,0.0,13.67,有,
中正區,房地(土地+建物),臺北市中正區南海路７０之１號,11.29,住,,,1111129,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750130,48.99,0,0,0,無,無,12146178,247932,,0.0,0,,RPUNMLTLKIHGFAA97DA,21.5,26.39,0.0,無,
中山區,房地(土地+建物),臺北市中山區林森北路１０２號四樓之１,6.81,商,,,1111129,土地1建物2車位0,四層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0770415,75.85000000000001,2,2,1,有,有,13200000,174028,,0.0,0,,RPWOMLRLKIHGFCA38EA,52.68,0.0,4.91,有,1258
士林區,房地(土地+建物),臺北市士林區中山北路六段４３１號五樓,27.47,住,,,1111127,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680111,85.64,3,2,2,有,無,15300000,178655,,0.0,0,陽台外推；,RPROMLSLKIHGFEA18EA,81.15,0.0,4.49,無,1259
士林區,房地(土地+建物),臺北市士林區中山北路六段４１９巷３９號五樓,30.6,住,,,1111128,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731129,111.19,3,2,2,有,無,17880000,160806,,0.0,0,陽台外推；,RPWOMLTLKIHGFEA78EA,96.24,0.93,9.9,無,
文山區,房地(土地+建物),臺北市文山區福興路９６號五樓之４,10.32,住,,,1111128,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850503,37.31,1,1,1,有,有,6300000,168856,,0.0,0,,RPQOMLRLKIHGFAA57EA,24.58,1.28,2.3,有,
萬華區,房地(土地+建物),臺北市萬華區中華路二段４１６巷１號十一樓之２,18.9,住,,,1111118,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760316,89.25,3,2,2,有,有,17480000,195854,,0.0,0,陽台外推；,RPPNMLSLKIHGFBA57EA,60.77,0.0,8.84,有,1260
中山區,房地(土地+建物),臺北市中山區民權東路二段９２巷８弄８號三樓,41.75,住,,,1111124,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0590723,113.6,4,1,4,有,無,20000000,176056,,0.0,0,,RPRQMLSLKIHGFCA18EA,102.24,0.0,11.36,無,
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街２１５號十樓,61.37,住,,,1111117,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831208,143.84,2,2,2,有,有,20600000,161915,坡道平面,30.2,2200000,,RPSNMLOLKIHGFCA47DA,125.25,0.0,10.98,有,
北投區,房地(土地+建物)+車位,臺北市北投區溫泉路６８巷６弄８號八樓之１,29.09,住,,,1111112,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051109,179.1,3,2,2,有,有,29200000,187698,坡道平面,36.85,2500000,,RPPNMLKMKIHGFEA17EA,76.96,9.59,6.45,有,
中正區,房地(土地+建物),臺北市中正區館前路２０號十一樓,12.51,商,,,1111104,土地2建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0611211,149.77,0,0,1,有,有,33500000,223676,,0.0,0,本案兩戶打通使用陽台外推；,RPUPMLSJKIHGFBA97DA,139.45,0.0,10.32,有,
大安區,房地(土地+建物),臺北市大安區信義路四段６０之３１號五樓,2.2,商,,,1111125,土地2建物1車位0,五層,六層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0600301,10.43,0,0,0,無,有,2600000,249281,,0.0,0,,RPVNMLTJKIHGFFA38DA,10.43,0.0,0.0,無,
松山區,房地(土地+建物),臺北市松山區光復南路１７巷４５號三樓,27.25,住,,,1111127,土地1建物1車位0,三層，露台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0590117,94.85,3,2,3,有,無,21500000,226674,,0.0,0,其他增建；,RPVNMLSLKIHGFDA28DA,94.85,0.0,0.0,無,1261
中山區,房地(土地+建物),臺北市中山區新生北路二段６６號二樓之２２,2.38,商,,,1111115,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0690721,28.310000000000002,0,0,0,無,有,4880000,172377,,0.0,0,陽台外推；,RPOOMLPJKIHGFCA07DA,20.0,0.0,2.17,有,1262
中正區,房地(土地+建物),臺北市中正區館前路２０號十一樓之１,12.51,商,,,1111104,土地2建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0611211,149.91,0,0,1,有,有,33500000,223467,,0.0,0,本案兩戶打通使用陽台外推；,SPUPMLSJKIHGFBA08DA,122.11,0.0,27.8,有,
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路三段１３６號十五樓,29.59,商,,,1111122,土地2建物1車位1,十五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100520,339.08000000000004,3,2,3,有,有,130806199,385768,坡道平面,0.0,0,政府機關標讓售；,RPQNMLTLKIHGFAA67EA,180.09,7.76,20.18,有,
北投區,房地(土地+建物),臺北市北投區致遠二路６１巷１６號四樓,33.72,住,,,1111118,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731115,123.88,3,2,2,有,無,19600000,158218,,0.0,0,陽台外推；其他增建；,RPQOMLPKKIHGFEA57DA,104.83,0.0,9.37,無,1263
士林區,房地(土地+建物),臺北市士林區忠誠路二段１５４巷２３弄１之６號,27.7,住,,,1111125,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681207,91.27,3,2,1,有,無,24000000,262956,,0.0,0,其他增建；,RPVQMLRLKIHGFEA58DA,79.13,12.14,0.0,無,
南港區,土地,玉成段二小段214-4地號,77.0,工,,,1111109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,38747170,503210,,0.0,0,政府機關標讓售；,RPUQMLMLJIHGFDA87EA,0.0,0.0,0.0,無,
北投區,車位,臺北市北投區中正街６２號等；光明路６８號三樓等共用部分,1.35,商,,,1111110,土地1建物1車位1,,,其他,,,,35.66,0,0,0,有,有,2000000,,坡道平面,35.65,2000000,僅車位交易；,RPSPMLSJKIHGFEA18EA,0.0,0.0,0.0,有,0644
中山區,房地(土地+建物),臺北市中山區新生北路三段１０號五樓之３,2.93,商,,,1111121,土地2建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0740327,30.03,1,0,1,有,有,6200000,206460,,0.0,0,其他增建；,RPUOMLQLKIHGFCA97DA,20.48,0.0,0.0,有,1265
中山區,房地(土地+建物),臺北市中山區新生北路三段６２巷２０號七樓之１,30.85,商,,,1111107,土地1建物1車位0,七層，八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790829,184.98000000000002,4,1,2,有,有,35000000,189210,,0.0,0,,RPUOMLQJKIHGFCA77DA,125.11,19.67,15.58,有,1266
中山區,房地(土地+建物),臺北市中山區敬業三路１６８號五樓,47.09,住,,,1111126,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890628,155.66,3,2,2,有,有,27000000,173455,,0.0,0,陽台外推；其他增建；,RPRNMLMJKIHGFCA96DA,77.7,0.0,8.22,有,
信義區,房地(土地+建物),臺北市信義區仁愛路四段５０８號三樓,16.4,住,,,1111123,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731029,112.32000000000001,3,2,2,有,有,33000000,293803,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLSLKIHGFDA97EA,91.53,0.0,10.84,有,
士林區,房地(土地+建物),臺北市士林區福港街２１２號四樓,35.05,住,,,1111121,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670302,84.95,3,2,2,有,無,8558961,100753,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSQMLMKKIHGFEA67DA,82.02,0.0,2.93,無,
內湖區,房地(土地+建物)+車位,臺北市內湖區石潭路２７號十三樓之５,26.77,都市：其他:辦公服務區(一)(不得作住宅使用)。,,,1111118,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0980831,134.62,2,1,1,有,有,22200000,164909,坡道平面,32.4,0,,RPQQMLSLKIHGFCA08EA,54.18,2.91,9.43,有,1267
南港區,房地(土地+建物),臺北市南港區經貿二路１５７巷３６弄８８號七樓之２,12.13,住,,,1111127,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970910,50.480000000000004,1,1,1,有,有,13000000,257528,,0.0,0,夾層；,RPWNMLSLKIHGFDA48EA,28.07,1.57,3.11,有,1268
內湖區,房地(土地+建物),臺北市內湖區東湖路１１９巷４９弄６號四樓,31.02,住,,,1111129,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740524,110.00999999999999,3,2,2,有,無,15000000,136351,,0.0,0,其他增建；,RPOQMLLLKIHGFCA07DA,81.32,0.0,19.09,無,
內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街１３１號十三樓之３,13.29,住,,,1111121,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931222,114.93,2,2,1,有,有,29500000,304020,坡道平面,26.12,2500000,其他增建；,RPOSMLNKRHHGFCA08EA,52.86,4.07,3.35,有,
文山區,房地(土地+建物),臺北市文山區萬盛街８９之２號四樓,18.86,住,,,1111126,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050816,113.93,4,2,2,有,有,26500000,232599,,0.0,0,夾層；其他增建；,RPSOMLSLKIHGFAA77DA,51.81,11.96,7.17,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段２８０巷１０號十樓,54.64,住,,,1111117,土地3建物1車位3,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031204,392.33000000000004,3,2,3,有,有,66330000,169067,坡道平面,0.0,6900000,,RPVOMLSLKIHGFCA38EA,147.95,15.64,18.46,有,1269
內湖區,房地(土地+建物),臺北市內湖區內湖路一段３５９巷４號四樓,24.25,住,,,1111126,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661020,68.79,4,1,1,有,無,11880000,172700,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPWNMLTJKIHGFCA18DA,61.19,0.0,7.6,無,
大安區,房地(土地+建物),臺北市大安區辛亥路三段３號十一樓之７,12.77,住,,,1111109,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.19,3,2,2,有,有,28500000,225850,,0.0,0,其他增建；,RPWNMLRLKIHGFFA48DA,94.03,0.0,15.97,有,
文山區,房地(土地+建物),臺北市文山區羅斯福路五段９７巷２號二樓,49.0,住,,,1111103,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761123,144.83999999999997,4,2,2,有,無,26500000,182961,,0.0,0,陽台外推；,RPQNMLSLKIHGFAA47DA,121.36,0.4,12.41,無,
