編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLMLIIGGFAX98DA,15,113.62,集合住宅,鋼筋混凝土造,95年7月10日,十四層,十二層 陽台,全筆移轉
RPRNMLMLIIGGFAX98DA,15,73.14,共用部份,鋼筋混凝土造,95年7月10日,十四層,,持分移轉
RPOOMLRLIIGGFAX66DA,41,91.44,住家用,鋼筋混凝土加強磚造,70年3月23日,二層,一層 二層 電梯樓梯間,全筆移轉
RPOOMLRJKIGGFAX66DA,23,55.54,商業用,鋼筋混凝土造,87年6月10日,四層,一層 二層 三層 四層 電梯樓梯間,持分移轉
RPPNMLKKIIGGFAX48DA,33,67.27,住家用,鋼筋混凝土加強磚造,77年12月17日,二層,一層 二層 電梯樓梯間 夾層,持分移轉
RPTNMLOKRHGGFAX47DA,52,78.66,住家用,鋼筋混凝土加強空心磚造,58年11月25日,二層,一層 二層,全筆移轉
RPXNMLPKRHGGFAX97DA,15,125.86,集合住宅,鋼筋混凝土造,95年6月29日,十三層,八層 陽台,全筆移轉
RPXNMLPKRHGGFAX97DA,15,85.34,共用部份,鋼筋混凝土造,95年6月29日,十四層,,持分移轉
RPSNMLTLRHGGFAX97DA,27,102.50,住家用,鋼筋混凝土造,83年5月10日,七層,三層 見其他登記事項,全筆移轉
RPSNMLTLRHGGFAX97DA,27,10.29,避難室、店舖,鋼筋混凝土造,83年5月10日,七層,,持分移轉
RPSNMLTLRHGGFAX97DA,27,6.07,,鋼筋混凝土造,83年5月10日,七層,,持分移轉
RPQNMLRLRHGGFAX57DA,39,138.80,住家用,鋼筋混凝土加強磚造,71年12月18日,三層,一層 二層 三層,全筆移轉
RPUNMLOJIIGGFAX66DA,18,162.67,住家用,鋼筋混凝土造,93年2月10日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPSNMLLJIIGGFAX78DA,54,96.71,住家用,鐵筋加強造,56年7月10日,三層,一層 二層 三層,持分移轉
RPUNMLTJRHGGFAX97DA,15,106.08,集合住宅,鋼筋混凝土造,95年7月10日,十四層,二層 陽台,全筆移轉
RPUNMLTJRHGGFAX97DA,15,68.62,共用部份,鋼筋混凝土造,95年7月10日,十四層,,持分移轉
RPSNMLQJIIGGFAX66DA,27,118.67,住家用,鋼筋混凝土造,83年8月31日,七層,一層,全筆移轉
RPSNMLQJIIGGFAX66DA,27,31.74,地下室、梯間,鋼筋混凝土造,83年8月31日,七層,,持分移轉
RPSNMLSJIIGGFAX86DA,,8.22,住家用,造,,一層,一層 見其他登記事項,持分移轉
RPUNMLNLRHGGFAX57DA,11,181.99,住家用,鋼筋混凝土造,100年1月4日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項,全筆移轉
RPRNMLMKIIGGFAX88DA,,234.92,住家用,鋼筋混凝土造,110年7月26日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPSNMLMKIIGGFAX98DA,,90.29,集合住宅,鋼筋混凝土造,110年7月23日,五層,二層 見其他登記事項,全筆移轉
RPSNMLMKIIGGFAX98DA,,42.04,共用部份,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPSNMLRLRHGGFAX87EA,,15.32,住家用,造,6年0月0日,一層,一層,持分移轉
RPUNMLNKIIGGFAX66DA,,8.22,住家用,造,,一層,一層 見其他登記事項,持分移轉
RPTNMLRLRHGGFAX97EA,,15.32,住家用,造,6年0月0日,一層,一層,持分移轉
RPUNMLRLRHGGFAX08EA,,15.32,住家用,造,6年0月0日,一層,一層,持分移轉
RPTNMLMKIIGGFAX09DA,,77.68,集合住宅,鋼筋混凝土造,110年7月23日,五層,二層 見其他登記事項,全筆移轉
RPTNMLMKIIGGFAX09DA,,21.53,共用部份,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPRNMLRJIIGGFAX66DA,17,206.68,住家用,鋼筋混凝土造,94年1月24日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPVNMLMKIIGGFAX66DA,,77.68,集合住宅,鋼筋混凝土造,110年7月23日,五層,三層 見其他登記事項,全筆移轉
RPVNMLMKIIGGFAX66DA,,21.53,共用部份,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPOOMLMKIIGGFAX68DA,,90.35,集合住宅,鋼筋混凝土造,110年7月23日,五層,四層 見其他登記事項,全筆移轉
RPOOMLMKIIGGFAX68DA,,42.04,共用部份,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPWNMLMKIIGGFAX76DA,,90.35,集合住宅,鋼筋混凝土造,110年7月23日,五層,三層 見其他登記事項,全筆移轉
RPWNMLMKIIGGFAX76DA,,42.04,共用部份,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPROMLMKIIGGFAX98DA,,77.68,集合住宅,鋼筋混凝土造,110年7月23日,五層,五層 見其他登記事項,全筆移轉
RPROMLMKIIGGFAX98DA,,35.28,共用部份,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPPOMLMKIIGGFAX78DA,,77.68,集合住宅,鋼筋混凝土造,110年7月23日,五層,四層 見其他登記事項,全筆移轉
RPPOMLMKIIGGFAX78DA,,35.28,共用部份,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPSOMLMKIIGGFAX09DA,,90.35,集合住宅,鋼筋混凝土造,110年7月23日,五層,五層 見其他登記事項,全筆移轉
RPSOMLMKIIGGFAX09DA,,42.04,共用部份,鋼筋混凝土造,110年7月23日,五層,,持分移轉
RPRNMLLJIIGGFAX68DA,11,346.36,住家用,鋼筋混凝土造,99年9月15日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPPNMLSKIIGGFAX66DA,,161.96,住家用,鋼筋加強造,53年0月0日,二層,一層 二層,全筆移轉
RPSNMLPKIIGGFAX66DA,43,157.80,住商用,鋼筋混凝土加強磚造,67年11月30日,四層,一層 二層 三層 四層 地下層,全筆移轉
RPSNMLKLIIGGFAX88DA,41,120.30,住家用,鋼筋混凝土加強磚造,70年3月2日,三層,一層 二層 三層,全筆移轉
RPPNMLSLIIGGFAX76DA,24,114.34,住家用,鋼筋混凝土造,86年6月28日,八層,四層 陽台,全筆移轉
RPPNMLSLIIGGFAX76DA,24,44.08,住家用,鋼筋混凝土造,86年6月28日,八層,,持分移轉
RPUNMLMJJIGGFAX56DA,14,213.93,住家用,鋼筋混凝土造,96年10月15日,三層,一層 二層 三層 水箱 見其他登記事項,全筆移轉
RPPNMLNJJIGGFAX78DA,41,88.46,住家用,鋼筋混凝土加強磚造,69年11月17日,二層,一層 二層 電梯樓梯間,全筆移轉
RPSNMLSLIIGGFAX07DA,24,98.38,住家用,鋼筋混凝土造,86年6月28日,八層,七層 陽台,全筆移轉
