鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市福麗里１９鄰饒平街５１巷２９號三樓,40.48,住,,,1100907,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051213,131.16,3,2,2,有,有,6700000,51083,一樓平面,0.0,0,,RPPNMLOLRHGGFBK58DA,81.12,0.0,9.29,有,
通霄鎮,土地,北勢窩段1101-16地號,2829.5,,山坡地保育區,農牧用地,1100913,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,1131,,0.0,0,,RPVNMLRLRHGGFCK96DA,0.0,0.0,0.0,無,0313
通霄鎮,土地,通西段1124-6地號,2.39,,,,1100916,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,129805,54312,,0.0,0,,RPWNMLMLRHGGFCK56DA,0.0,0.0,0.0,無,
後龍鎮,土地,外埔段1201-9地號,4537.0,農,,,1100907,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16000000,3527,,0.0,0,包含公共設施保留地用地；,RPQOMLSJRHGGFDK56DA,0.0,0.0,0.0,無,
竹南鎮,土地,大同段690地號,507.67,商,,,1100901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,59892300,117975,,0.0,0,,RPUNMLQJRHGGFDK66DA,0.0,0.0,0.0,無,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大厝里１１鄰大業街１０６號十四樓之一,36.78,住,,,1100901,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050812,182.64,3,2,2,有,有,10930000,59845,坡道平面,32.11,0,,RPPOMLNLRHGGFDK78DA,96.45,0.0,8.34,有,0314
後龍鎮,房地(土地+建物),苗栗縣後龍鎮校椅里４鄰圪仔路４０之１２７號,64.59,,特定農業區,甲種建築用地,1100913,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701204,89.03,1,1,1,有,無,2150000,24149,,0.0,0,頂樓加蓋；,RPSNMLSLRHGGFDK86DA,89.03,0.0,0.0,無,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮頂埔里１５鄰中華路１３７巷８弄８之２號七樓,14.61,商,,,1100918,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840106,105.61999999999999,3,2,2,有,有,3250000,30771,,0.0,0,,RPWNMLSLRHGGFDK27DA,79.13,0.0,0.0,有,
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村５鄰育英八街１００號三樓之十七,36.77,,山坡地保育區,丙種建築用地,1100919,土地1建物2車位0,三層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0910417,55.97,0,0,0,無,有,900000,16080,,0.0,0,,RPOOMLSLRHGGFDK56DA,36.6,2.69,4.53,無,
頭份市,土地,興埔段204地號,487.91,,山坡地保育區,農牧用地,1100901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1350000,2767,,0.0,0,,RPTOMLNKRHGGFFK66DA,0.0,0.0,0.0,無,
