鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
鼓山區,房地(土地+建物),高雄市鼓山區明誠四路C6棟18樓,4.25,商,,,1100929,土地1建物1車位0,十八層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,69.56,2,2,1,有,無,7560000,108683,,0.0,0,,RPWPMLPLIIGGFAE08CB,美術1?院,C棟6號
鼓山區,房地(土地+建物),高雄市鼓山區明誠四路C6棟24樓,4.25,商,,,1100929,土地1建物1車位0,二十四層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,69.56,2,2,1,有,無,7690000,110552,,0.0,0,,RPXPMLPLIIGGFAE18CB,美術1?院,C棟6號
鼓山區,房地(土地+建物),高雄市鼓山區明誠四路C6棟25樓,4.25,商,,,1100927,土地1建物1車位0,二十五層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,69.56,2,2,1,有,無,7710000,110840,,0.0,0,,RPOQMLPLIIGGFAE37CB,美術1?院,C棟6號
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠四路C7棟13樓,7.6,商,,,1100928,土地1建物1車位1,十三層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,148.87,3,2,2,有,無,18590000,134419,坡道平面,23.59,1750000,,RPPQMLPLIIGGFAE47CB,美術1?院,C棟7號
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠四路C7棟23樓,7.6,商,,,1100929,土地1建物1車位1,二十三層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,148.87,3,2,2,有,無,19070000,137452,坡道平面,23.59,1850000,,RPQQMLPLIIGGFAE57CB,美術1?院,C棟7號
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠四路C7棟27樓,7.6,商,,,1100928,土地1建物1車位1,二十七層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,150.64,3,2,2,有,無,19620000,138649,坡道平面,25.36,2250000,,RPRQMLPLIIGGFAE67CB,美術1?院,C棟7號
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠四路C10棟16樓,5.47,商,,,1100927,土地1建物1車位1,十六層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,113.14,2,2,1,有,無,11780000,114238,坡道平面,23.59,1550000,,RPSQMLPLIIGGFAE77CB,美術1?院,C棟10號
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠四路C10棟27樓,5.39,商,,,1100927,土地1建物1車位1,二十七層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,111.98,2,2,1,有,無,11940000,117547,坡道平面,23.59,1550000,,RPTQMLPLIIGGFAE87CB,美術1?院,C棟10號
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠四路C10棟30樓,5.39,商,,,1100927,土地1建物1車位1,三十層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,111.98,2,2,1,有,無,12020000,118452,坡道平面,23.59,1550000,,RPUQMLPLIIGGFAE97CB,美術1?院,C棟10號
鼓山區,房地(土地+建物),高雄市鼓山區明誠四路C11棟15樓,4.41,商,,,1100927,土地1建物1車位0,十五層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,72.84,2,2,1,有,無,8290000,113811,,0.0,0,,RPVQMLPLIIGGFAE08CB,美術1?院,C棟11號
鼓山區,房地(土地+建物),高雄市鼓山區明誠四路C11棟24樓,4.41,商,,,1100928,土地1建物1車位0,二十四層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,72.84,2,2,1,有,無,8490000,116557,,0.0,0,,RPWQMLPLIIGGFAE18CB,美術1?院,C棟11號
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠四路C11棟6樓,4.41,商,,,1100929,土地1建物1車位1,六層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,87.59,2,2,1,有,無,9280000,111203,坡道機械,14.75,1180000,,RPXQMLPLIIGGFAE28CB,美術1?院,C棟11號
