鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
竹田鄉,土地,新田段17地號,5573.0,,特定農業區,農牧用地,1110504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20107500,3608,,0.0,0,機電設備；,RPQNMLNKOHHGFCT66DA,0.0,0.0,0.0,無,0531
內埔鄉,土地,新埔段1860地號,46.18,農,,,1110507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,4331,,0.0,0,作道路使用,RPQNMLPKOHHGFCT86DA,0.0,0.0,0.0,無,0632
內埔鄉,土地,新埔段1860-10地號,286.0,農,,,1110507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1830000,6399,,0.0,0,,SPQNMLPKOHHGFCT96DA,0.0,0.0,0.0,無,0633
潮州鎮,房地(土地+建物),屏東縣潮州鎮志成路３３８之２０號,104.68,住,,,1110509,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1071226,192.8,5,2,5,有,無,13000000,67427,,0.0,0,,RPVNMLPKOHHGFCT37DA,181.16,0.0,11.64,無,0634
萬丹鄉,土地,萬後段137-1地號,530.0,農,,,1110525,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,360000,679,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPWOMLNKOHHGFAT17DA,0.0,0.0,0.0,無,
麟洛鄉,土地,麟仁段274-19地號,89.83,農,,,1110507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,390000,4342,,0.0,0,,SPSOMLPKOHHGFAT07DA,0.0,0.0,0.0,無,0635
長治鄉,土地,長豐段76-10地號,1294.6,,一般農業區,農牧用地,1110504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,5021,,0.0,0,農作物；,RPRQMLLKNHHGFAT56DA,0.0,0.0,0.0,無,0636
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉社皮路二段６１巷１８號,110.89,,鄉村區,乙種建築用地,1110506,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1101208,163.95,5,2,3,有,無,8250000,50320,,0.0,0,,RPQQMLQKNHHGFAT96DA,160.01,0.0,3.94,無,
屏東市,房地(土地+建物),屏東縣屏東巿和平路４６２之２號,69.0,住,,,1110512,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0580626,82.56,3,1,1,有,無,1380000,16715,,0.0,0,,RPXNMLKLNHHGFAT86DA,82.56,0.0,0.0,無,
屏東市,房地(土地+建物)+車位,屏東縣屏東巿民生東路５６巷８弄１０之５號,38.8,住,,,1110513,土地2建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830516,146.65,3,1,2,有,有,4900000,33413,坡道平面,0.0,0,,RPVNMLLLNHHGFAT76DA,92.8,0.0,14.07,有,
