鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區宏昌段846地號,34.35,,特定農業區,甲種建築用地,1110524,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,147.42,3,2,2,有,無,11800000,84006,坡道平面,24.81,1500000,,RPWNMLTLNHHGFEH86CB,青淞,C6棟06F號
蘆竹區,房地(土地+建物),桃園市蘆竹區機捷路二段、埤腳街口,13.84,住,,,1110520,土地1建物1車位0,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,63.06,1,1,1,有,無,6660000,105614,,0.0,0,,RPOOMLTLNHHGFEH78CB,Ａ10公園翫,A棟6-3F號
龍潭區,房地(土地+建物)+車位,桃園市龍潭區 大昌路一段60號旁,28.6,住,,,1110528,土地1建物1車位1,十七層,17,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,168.15,3,2,2,有,無,12950000,84228,坡道平面,32.21,1500000,,RPPNMLTLNHHGFCH58CB,華曜大謙,A2棟0號
龍潭區,房地(土地+建物)+車位,桃園市龍潭區 大昌路一段60號旁,20.95,住,,,1110528,土地1建物1車位1,六層,17,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,130.68,2,2,2,有,無,9660000,82832,坡道平面,30.96,1400000,,RPQNMLTLNHHGFCH68CB,華曜大謙,B2棟0號
龍潭區,房地(土地+建物)+車位,桃園市龍潭區 大昌路一段60號旁,33.84,住,,,1110529,土地1建物1車位2,十五層,17,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,225.35,4,2,2,有,無,16200000,82023,坡道平面,64.42,3000000,,RPRNMLTLNHHGFCH78CB,華曜大謙,A3棟0號
桃園區,房地(土地+建物)+車位,桃園市桃園區溫州一路中路二段25地號,10.28,住,,,1110520,土地1建物1車位1,二十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.81,1,2,1,有,無,11180000,131700,坡道平面,24.93,1450000,,RPQNMLTLNHHGFAH48CB,嘉璟一品硯,A棟3-21F號
桃園區,房地(土地+建物),桃園市桃園區博愛路,10.61,商,,,1110514,土地1建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.23,2,2,2,有,無,9470000,98410,,0.0,0,含機車位二個共有部分面積:6.56平方公尺機車位價格：30萬元,RPRNMLKMNHHGFAH77CB,厚陞園,A1-2F號
桃園區,房地(土地+建物),桃園市桃園區博愛路,10.61,商,,,1110514,土地1建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.23,2,2,2,有,無,9750000,101320,,0.0,0,含機車位二個共有部分面積:6.56平方公尺機車位價格：30萬元,RPSNMLKMNHHGFAH87CB,厚陞園,A1-5F號
桃園區,房地(土地+建物),桃園市桃園區博愛路,10.61,商,,,1110519,土地1建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.95,2,2,2,有,無,9960000,107154,,0.0,0,含機車位一個共有部分面積:3.28平方公尺機車位價格：15萬元,RPTNMLKMNHHGFAH97CB,厚陞園,A1-11F號
桃園區,房地(土地+建物)+車位,桃園市桃園區博愛路,7.44,商,,,1110528,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.37,2,2,2,有,無,8100000,97146,升降平面,26.49,1700000,含機車位一個共有部分面積:3.28平方公尺機車位價格：15萬元,RPUNMLKMNHHGFAH08CB,厚陞園,A6-4F號
桃園區,房地(土地+建物)+車位,桃園市桃園區愛國街愛二街交叉口,12.76,住,,,1110515,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.41,1,1,1,有,無,8270000,115530,坡道平面,48.84,1850000,,RPVNMLKMNHHGFAH18CB,定泰翫花同,A1-6F號
桃園區,房地(土地+建物)+車位,桃園市桃園區愛國街愛二街交叉口,12.78,住,,,1110515,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.45,1,1,1,有,無,8230000,116526,坡道平面,48.84,1750000,,RPWNMLKMNHHGFAH28CB,定泰翫花同,A9-4F號
桃園區,房地(土地+建物)+車位,桃園市桃園區愛國街愛二街交叉口,16.1,住,,,1110527,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.9,2,1,1,有,無,9720000,113760,坡道平面,48.84,1750000,,RPXNMLKMNHHGFAH38CB,定泰翫花同,A2-6F號
