鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
中正區,房地(土地+建物),臺北市中正區齊東街70巷,10.85,住,,,1110515,土地5建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,58.26,1,1,1,有,無,21150000,363028,,0.0,0,,RPTNMLSJPHHGFBA08CB,中正H25,6F-A2號
中山區,房地(土地+建物)+車位,臺北市中山區聚盛里錦州街30巷,7.29,商,,,1110622,土地7建物1車位1,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,123.84,2,2,2,有,無,35880000,366920,坡道平面,31.64,2050000,,RPPNMLSJPHHGFCA77CB,中山．吉美,A棟A8-15F號
中山區,房地(土地+建物)+車位,臺北市中山區長安東路一段52巷,15.61,商,,,1110630,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.77,2,2,2,有,無,29180000,304636,其他,17.19,2500000,第一次變更執照：110/08/27交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSJPHHGFCA87CB,?山,B-2F號
北投區,房地(土地+建物)+車位,臺北市北投區實踐街５巷７號旁,12.9,住,,,1110704,土地10建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.44,3,2,2,有,無,33600000,273262,坡道平面,36.63,2500000,,RPPNMLSJPHHGFEA97CB,新碩大砌,E-13F號
大安區,房地(土地+建物),臺北市大安區安東街35巷,9.73,住,,,1110612,土地12建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,63.05,2,1,1,有,無,29500000,467883,,0.0,0,,RPPNMLSJPHHGFFA08CB,親家JIA,C號
大安區,房地(土地+建物),臺北市大安區安東街35巷,5.9,住,,,1110613,土地12建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,36.82,1,1,1,有,無,16880000,458446,,0.0,0,,RPQNMLSJPHHGFFA18CB,親家JIA,G號
中山區,房地(土地+建物)+車位,臺北市中山區建國北路二段,24.56,住,,,1110707,土地2建物1車位2,十層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,304.01,0,0,0,無,無,88900000,327487,坡道平面,54.84,7300000,交易總價含下列非屬預售屋價格之費用:毛胚屋；,RPPNMLTJPHHGFCA87CB,帝璽,A1-10F號
中山區,房地(土地+建物)+車位,臺北市中山區大直街84巷,11.61,住,,,1110619,土地3建物1車位1,十四層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,123.91,2,2,1,有,無,39680000,416723,坡道平面,35.65,2900000,雨遮不計價,RPPNMLKKPHHGFCA07CB,躍大直,A3-14F號
中山區,房地(土地+建物)+車位,臺北市中山區大直街84巷,19.17,住,,,1110630,土地3建物1車位1,二十層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,181.01,3,2,2,有,無,64600000,424463,坡道平面,35.65,2900000,雨遮不計價,RPQNMLKKPHHGFCA17CB,躍大直,A2-20F號
文山區,房地(土地+建物)+車位,臺北市文山區保儀路,16.04,商,,,1110702,土地1建物1車位1,二十五層,29,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,180.77,0,0,0,無,無,36550000,218557,坡道機械,18.57,1100000,,RPPNMLKKPHHGFAA96DB,天賞大願,A2棟25F號
