鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
太保市,房地(土地+建物),過溝里６鄰麻太路２３８巷１３號,85.55,住,,,1091226,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840831,129.2,3,2,2,有,無,5000000,38700,,0.0,0,頂樓加蓋；其他增建；,RPWPMLLLJHGGFDQ56DA,103.2,26.0,0.0,無,
水上鄉,房地(土地+建物),柳鄉村柳子林１１８之２４號,73.14,,鄉村區,乙種建築用地,1091225,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690801,86.52,2,2,2,有,無,2300000,26583,,0.0,0,頂樓加蓋；,RPRNMLQJJHGGFDQ78DA,86.52,0.0,0.0,無,
太保市,土地,祥和段415-5地號,1105.35,住,,,1091218,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18300000,16556,,0.0,0,,RPOOMLRJJHGGFDQ68DA,0.0,0.0,0.0,無,
民雄鄉,房地(土地+建物),興中村劉竹仔腳１７之１５號,93.0,都市：其他:農,,,1091218,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690825,119.9,2,2,2,有,無,2350000,19600,,0.0,0,其他增建；,RPRNMLSLKIPFFCQ47DA,119.9,0.0,0.0,無,
民雄鄉,房地(土地+建物),福樂村建國路三段１２４巷１７號,60.88,都市：其他:商,,,1091228,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0661015,91.2,4,2,3,有,無,3600000,39474,,0.0,0,頂樓加蓋；其他增建；,RPPNMLNLJHGGFCQ38DA,91.2,0.0,0.0,無,0192
民雄鄉,房地(土地+建物),文隆村建國路二段２５３號,65.8,都市：其他:住,,,1091223,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690715,109.86,3,1,4,有,無,4680000,42600,,0.0,0,其他增建；,RPPNMLOLJHGGFCQ48DA,109.86,0.0,0.0,無,0193
民雄鄉,土地,豐收段991-11地號,155.03,,鄉村區,乙種建築用地,1091215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1875860,12100,,0.0,0,,RPQNMLPLJHGGFCQ68DA,0.0,0.0,0.0,無,
民雄鄉,土地,豐收段991-10地號,156.71,,鄉村區,乙種建築用地,1091215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1896188,12100,,0.0,0,,RPRNMLPLJHGGFCQ78DA,0.0,0.0,0.0,無,
民雄鄉,土地,牛稠溪段390地號,2451.0,,特定農業區,農牧用地,1091224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11492126,4689,,0.0,0,農業設施；,RPVNMLQLJHGGFCQ66DA,0.0,0.0,0.0,無,
朴子市,房地(土地+建物),內厝１０５號,90.17,住,,,1091219,土地1建物1車位0,全,一層,透天厝,住家用,木造,0070120,27.55,0,0,0,無,無,1118333,40593,,0.0,0,,RPRNMLPLJHGGFBQ68DA,27.55,0.0,0.0,無,
