編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTOMLOJLHGGFAN48DA,3,152.44,騎樓、店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,107年4月30日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮 見其他登記事項,持分移轉
RPUNMLOJLHGGFCN68DA,27,73.32,住家用,鋼筋混凝土造,83年3月28日,三層,一層 二層 三層 騎樓,持分移轉
RPUNMLOJLHGGFCN68DA,27,73.32,住家用,鋼筋混凝土造,83年3月28日,三層,一層 二層 三層 騎樓,持分移轉
RPVNMLPJLHGGFCN88DA,31,124.27,住家用,鋼筋混凝土造,79年3月20日,四層,一層 二層 三層 四層 騎樓,持分移轉
RPPOMLNJLHGGFDN28DA,32,147.49,住商用,鋼筋混凝土造,77年12月7日,三層,一層 二層 三層 騎樓,全筆移轉
RPPNMLNJLHGGFDN18DA,41,77.92,住家用,加強磚造,69年5月1日,二層,一層 二層,全筆移轉
RPUNMLPJKHGGFEN88DA,40,165.06,住商用,鋼筋混凝土加強磚造,70年1月30日,三層,一層 二層 三層 騎樓,全筆移轉
RPQNMLPJKHGGFFN58DA,7,247.91,住宅，停車空間,鋼筋混凝土造,103年7月1日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPSNMLSJLHGGFCN88DA,1,166.60,騎樓、住宅、樓梯間,鋼筋混凝土造,109年5月19日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,全筆移轉
RPROMLOJLHGGFAN28DA,27,70.74,住家用,鋼筋混凝土造,82年11月10日,十二層,六層 陽台 花台,全筆移轉
RPROMLOJLHGGFAN28DA,27,12.07,梯間,鋼筋混凝土造,82年11月10日,十二層,,持分移轉
RPROMLOJLHGGFAN28DA,27,11.36,避難室、停車場、車道、門廳,鋼筋混凝土造,82年11月10日,十二層,,持分移轉
RPXNMLPJLHGGFDN56DA,1,83.86,住宅,鋼筋混凝土造,109年6月17日,三層,一層 二層 三層 陽台 屋頂突出物,持分移轉
RPXNMLPJLHGGFDN56DA,1,83.86,住宅,鋼筋混凝土造,109年6月17日,三層,一層 二層 三層 陽台 屋頂突出物,持分移轉
RPTNMLOJLHGGFDN68DA,29,27.26,住家用,鋼筋混凝土造,81年1月6日,六層,六層 陽台,全筆移轉
RPTNMLOJLHGGFDN68DA,29,5.63,電梯、樓梯,鋼筋混凝土造,81年1月6日,六層,,持分移轉
RPTNMLOJLHGGFDN68DA,29,1.17,交誼廳、門廳、水塔,鋼筋混凝土造,81年1月6日,六層,,持分移轉
RPTNMLOJLHGGFDN68DA,29,8.36,避難室、停車空間、車道,鋼筋混凝土造,81年1月6日,六層,,持分移轉
RPUNMLMKJHGGFGN78DA,36,86.62,住商用,鋼筋混凝土造,73年12月17日,四層,一層 二層 三層 四層 騎樓,持分移轉
RPUNMLMKJHGGFGN78DA,36,86.62,住商用,鋼筋混凝土造,73年12月17日,四層,一層 二層 三層 四層 騎樓,持分移轉
RPUNMLMKJHGGFGN78DA,36,86.62,住商用,鋼筋混凝土造,73年12月17日,四層,一層 二層 三層 四層 騎樓,持分移轉
RPPNMLKKJHGGFGN08DA,39,176.88,住商用,筋加強磚造,70年12月16日,三層,一層 二層 三層 騎樓,全筆移轉
RPROMLNJLHGGFDN48DA,1,156.94,住宅、停車空間,鋼筋混凝土造,108年10月2日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPPNMLOJLHGGFAN97DA,43,14.38,住家用,鋼筋混凝土加強磚造,66年11月7日,三層,一層 二層 三層,持分移轉
RPTNMLMJLHGGFAN18DA,38,58.70,辦公室,鋼筋混凝土造,72年7月14日,八層,四層,全筆移轉
RPTNMLMJLHGGFAN18DA,38,12.46,走道、樓梯間,鋼筋混凝土造,72年7月14日,八層,,持分移轉
RPQNMLLJJHGGFDN87DA,12,62.59,集合住宅,鋼筋混凝土造,97年12月1日,五層,三層,全筆移轉
RPQNMLLJJHGGFDN87DA,12,20.80,消防邦浦室、發電機室、停車空間、電信機房、走廊、樓梯間、電梯梯間,鋼筋混凝土造,97年12月1日,五層,,持分移轉
RPRNMLPKJHGGFCN38DA,25,150.30,住宅、店舖、停車空間,鋼筋混凝土造,85年3月18日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
