鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
七堵區,建物,基隆市七堵區明德二路１５之５２號３樓之１,0.0,住,,,1101113,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,56.39,3,1,1,有,有,有,12000,213,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPOQMLLKKIGGFDC27CC
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３６號４樓,25.1,住,,,1101206,土地3建物1車位1,四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811216,180.42,4,2,2,有,有,有,20000,111,坡道平面,0.0,0,,RPOPMLNKKIGGFDC37CC
中正區,建物,基隆市中正區觀海街１６９號１４樓,0.0,住,,,1101120,土地0建物1車位0,十四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,24.46,1,0,1,有,有,有,6000,245,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPSOMLOKKIGGFDC77CC
安樂區,建物,基隆市安樂區中和路１５８之３號,0.0,其他,,,1101117,土地0建物1車位0,全,4,透天厝,住宅　（騎樓）人行道,鋼筋混凝土造,0870715,297.84,5,2,3,有,無,有,19000,64,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPTOMLOKKIGGFDC87CC
中正區,建物,基隆市中正區新豐街３６０號１０樓,0.0,住,,,1101116,土地0建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,57.91,2,1,1,有,有,有,15000,259,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPUOMLOKKIGGFDC97CC
暖暖區,建物,基隆市暖暖區暖中路７７之３號,0.0,住,,,1101119,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701230,75.98,3,2,1,有,無,有,5500,72,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPVOMLOKKIGGFDC08CC
安樂區,房地(土地+建物),基隆市安樂區麥金路２３９號６樓,7.11,住,,,1101209,土地3建物1車位0,六層,22,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050124,73.28,2,1,1,有,有,有,14000,191,,0.0,0,,RPXOMLOKKIGGFDC28CC
安樂區,建物,基隆市安樂區樂利三街３４巷２４之２號,0.0,住,,,1101119,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680228,81.09,3,2,1,有,無,有,10000,123,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPVPMLQKKIGGFDC38CC
中正區,建物,基隆市中正區調和街３００號７樓之８,0.0,住,,,1101119,土地0建物1車位0,七層,14,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080212,75.69,2,1,1,有,無,有,15000,198,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPWPMLQKKIGGFDC48CC
安樂區,建物,基隆市安樂區武嶺街３０９號６樓之４,0.0,住,,,1101119,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850118,25.53,1,0,1,有,無,有,6500,255,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPXPMLQKKIGGFDC58CC
仁愛區,建物,基隆市仁愛區復興街１６巷１４之１號,0.0,住,,,1101119,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0620403,54.67,2,1,1,有,無,有,12000,219,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPOQMLQKKIGGFDC77CC
中正區,建物,基隆市中正區觀海街３９號４樓,0.0,住,,,1101119,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,57.41,2,1,2,有,有,有,9000,157,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPQQMLQKKIGGFDC97CC
中山區,建物,基隆市中山區安一路９９之２號,0.0,其他,,,1101119,土地0建物1車位0,三層,6,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0661220,92.14,3,2,2,有,無,有,13000,141,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPSQMLQKKIGGFDC18CC
暖暖區,建物,基隆市暖暖區暖碇路３８巷８５號８樓,0.0,住,,,1101119,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0980716,105.3,3,2,2,有,無,有,15000,142,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPTQMLQKKIGGFDC28CC
中正區,建物,基隆市中正區立德路１００號,0.0,住,,,1101120,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711229,103.22,2,1,1,有,無,有,12000,116,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPPOMLRKKIGGFDC77CC
中山區,建物,基隆市中山區復興路２５９巷２５之１號３樓,0.0,住,,,1101120,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830930,72.4,2,2,2,有,無,有,8500,117,,0.0,0,基隆市社會住宅包租代管第三期計畫,RPROMLRKKIGGFDC97CC
