鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
斗南鎮,房地(土地+建物),雲林縣斗南鎮延平路二段,15.56,商,,,1101128,土地2建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.38,2,2,1,有,無,4600000,60225,,0.0,0,,RPSNMLRJKIGGFBP88CB,合總君悅,F棟12F號
斗六市,房地(土地+建物)+車位,雲林縣斗六市文化路,24.79,,特定農業區,甲種建築用地,1101203,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.6,2,1,1,有,無,5400000,53052,坡道平面,28.95,750000,,RPPNMLSJKIGGFAP58CB,璞樸莊園Twin House,B棟B3號
林內鄉,房地(土地+建物),雲林縣林內鄉新興路,69.0,住,,,1101111,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,133.93,5,2,3,有,無,7580000,56597,,0.0,0,,RPQNMLSJKIGGFAP68CB,墅合院,F5棟0號
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉南安路,207.57,住,,,1101128,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,183.78,5,2,2,有,無,11080000,60289,,0.0,0,,RPPNMLTJKIGGFAP68CB,聚馥二期,S15棟0號
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉南安路,110.77,住,,,1101121,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,183.79,5,2,2,有,無,8900000,48425,,0.0,0,,RPQNMLTJKIGGFAP78CB,聚馥二期,S16棟0號
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉南安路,106.53,住,,,1101124,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,183.79,5,2,2,有,無,8780000,47772,,0.0,0,,RPRNMLTJKIGGFAP88CB,聚馥二期,S19棟0號
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉南安路,104.6,住,,,1101204,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,177.4,5,2,2,有,無,8650000,48760,,0.0,0,,RPSNMLTJKIGGFAP98CB,聚馥二期,S38棟0號
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉南安路,105.78,住,,,1101121,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,177.4,5,2,2,有,無,8500000,47914,,0.0,0,,RPTNMLTJKIGGFAP09CB,聚馥二期,S39棟0號
斗六市,房地(土地+建物),雲林縣斗六市科?一路,82.16,,工業區,丁種建築用地,1101127,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.84,3,3,4,有,無,7770000,53645,,0.0,0,,RPUNMLTJKIGGFAP56CB,綠邸三期,B棟23號
斗六市,房地(土地+建物),雲林縣斗六市科?一路,82.16,,工業區,丁種建築用地,1101207,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.57,4,2,5,有,無,7980000,55198,,0.0,0,,RPVNMLTJKIGGFAP66CB,綠邸三期,C棟18號
斗六市,房地(土地+建物),雲林縣斗六市科?一路,82.16,,工業區,丁種建築用地,1101207,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.66,4,2,5,有,無,7980000,55164,,0.0,0,,RPWNMLTJKIGGFAP76CB,綠邸三期,C棟7號
