鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
三星鄉,土地,新萬貴段256地號,4126.06,,特定農業區,農牧用地,1110217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13720000,3325,,0.0,0,,RPXNMLLJLHHGFAG97EA,0.0,0.0,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市縣政六街６８巷６６號,209.17,住,,,1110211,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060331,268.17,4,2,5,有,無,23880000,89048,,0.0,0,,RPWOMLMJLHHGFBG08DA,236.24,13.45,18.48,有,0012
礁溪鄉,土地,開圍段882地號,2733.8,,山坡地保育區,農牧用地,1110207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,585,,0.0,0,,RPPNMLMJLHHGFBG27DA,0.0,0.0,0.0,無,0013
宜蘭市,土地,農權段82地號,208.13,住,,,1110207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21700000,104262,,0.0,0,,RPWNMLNJLHHGFBG08DA,0.0,0.0,0.0,無,0014
員山鄉,房地(土地+建物),宜蘭縣員山鄉員山路一段１４３巷２５號五樓之二,27.7,住,,,1110211,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830418,129.76999999999998,3,2,2,有,無,4200000,32365,,0.0,0,,RPXPMLNJLHHGFBG38DA,87.46,0.0,8.53,有,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉冬山路一段９５２號二樓,44.5,都市：其他:住宅區,,,1110211,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091030,93.68,3,1,2,有,有,7300000,77925,,0.0,0,,RPPNMLRLKHHGFAG77DA,63.06,0.0,5.8,有,0015
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮城東路１００巷６號,108.24,住,,,1110210,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0941214,186.38,4,2,3,有,無,6500000,34875,,0.0,0,,RPRPMLPLKHHGFAG97DA,162.33,0.0,24.05,無,0016
頭城鎮,土地,石城段369地號,459.64,都市：其他:景觀保護區,,,1110216,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,653,,0.0,0,兄妹間移轉。親友、員工、共有人或其他特殊關係間之交易；,RPTNMLSLKHHGFBG38DA,0.0,0.0,0.0,無,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉大忠路１２７號二樓之七,8.04,住,,,1110212,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821111,52.589999999999996,1,1,1,有,有,2200000,41833,,0.0,0,兩個陽台外推陽台外推；,RPQNMLLJLHHGFBG27DA,29.06,0.0,7.66,有,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮陽明路１９８號四樓,16.73,住,,,1110208,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830802,112.8,2,2,1,有,有,6430000,57004,,0.0,0,,RPVOMLMJLHHGFAG87DA,77.79,0.32,11.5,有,0017
