鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
蘆竹區,建物,桃園市蘆竹區海山東街３７巷１８號２０號,0.0,,工業區,丁種建築用地,1100615,土地0建物2車位0,見其他登記事項,1,工廠,工廠,鋼骨造,1100305,3014.8100000000004,0,0,0,無,無,有,880000,,,0.0,0,,RPOOMLSJPHGGFEH68CC
蘆竹區,建物,桃園市蘆竹區中興五街４１之２號１０樓,0.0,住,,,1100630,土地0建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,175.22,3,2,2,有,有,有,16000,91,坡道平面,0.0,1000,社會住宅管理費另計＄1000,RPQOMLSJPHGGFEH88CC
蘆竹區,房地(土地+建物),桃園市蘆竹區中正路中正巷１１號,20.0,住,,,1100705,土地1建物1車位0,一層,3,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0680802,41.0,1,0,0,無,無,有,18000,439,,0.0,0,,RPWOMLSJPHGGFEH86CC
蘆竹區,建物,桃園市蘆竹區南福街６１號２樓之３,0.0,住,,,1100618,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890405,121.44,3,2,1,有,有,有,16700,138,,0.0,0,社會住宅管理費另計＄1800,RPWQMLSJPHGGFEH07CC
楊梅區,建物,桃園市楊梅區湖山街１８巷８號４樓,0.0,,山坡地保育區,丙種建築用地,1100630,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851014,86.24,3,2,1,有,無,有,8500,99,,0.0,0,社會住宅,RPQOMLSJPHGGFDH78CC
桃園區,建物,桃園市桃園區民有五街２６３號３樓之１,0.0,住,,,1100618,土地0建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860918,105.14,3,2,1,有,有,有,16000,152,坡道平面,0.0,1000,社會住宅管理費另計＄800,RPTPMLSJPHGGFAH88CC
桃園區,建物,桃園市桃園區龍城六街３２號４樓,0.0,其他,,,1100701,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950308,136.86,3,2,2,有,無,有,9000,66,,0.0,0,社會住宅,RPUPMLSJPHGGFAH98CC
桃園區,建物,桃園市桃園區寶慶路１５６號６樓,0.0,住,,,1100618,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871123,73.71,2,1,1,有,無,有,15000,204,,0.0,0,,RPQQMLSJPHGGFAH68CC
桃園區,建物,桃園市桃園區民生路５５９之３號,0.0,住,,,1100701,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0600428,78.0,3,2,1,有,無,有,11000,141,,0.0,0,社會住宅,RPSQMLSJPHGGFAH88CC
桃園區,建物,桃園市桃園區雙峰路１８９號３樓,0.0,住,,,1100704,土地0建物1車位0,三層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810801,39.32,1,0,1,有,無,有,8500,216,,0.0,0,,RPTQMLSJPHGGFAH98CC
