編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLQKQHGGFEQ96EA,44,78.44,住商用,磚木造,66年10月17日,二層,一層 二層,全筆移轉
RPVNMLLKQHGGFBQ66DA,19,167.27,住家用,鋼筋混凝土造,92年1月14日,三層,一層 二層 三層 陽台 電梯樓梯間,全筆移轉
RPQNMLSKQHGGFCQ07EA,40,114.87,住商用,鋼筋混凝土加強磚造,70年10月12日,二層,一層 二層 陽台 電梯樓梯間,全筆移轉
RPQNMLSKQHGGFCQ07EA,40,114.87,住商用,鋼筋混凝土加強磚造,70年10月12日,二層,一層 二層 陽台 電梯樓梯間,全筆移轉
RPPNMLTKQHGGFBQ86DA,26,156.68,住商用,鋼筋混凝土造,84年10月12日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLOLQHGGFCQ86EA,1,172.43,住宅、梯間,鋼筋混凝土造,109年4月7日,三層,一層 二層 三層 見其他登記事項 見其他登記事項,全筆移轉
RPSNMLOLQHGGFCQ96EA,1,175.59,住宅、梯間,鋼筋混凝土造,109年4月7日,三層,一層 二層 三層 見其他登記事項 見其他登記事項,全筆移轉
RPPNMLPLQHGGFBQ56DA,28,95.66,住家用,鋼筋混凝土造,82年7月12日,七層,二層 陽台,全筆移轉
RPPNMLPLQHGGFBQ56DA,28,36.79,配電室、樓梯間、防空避難室、停車場,鋼筋混凝土造,82年7月12日,七層,,持分移轉
RPQNMLTKQHGGFDQ17DA,16,183.37,住家用,鋼筋混凝土造,94年12月12日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPUNMLTKQHGGFDQ57DA,16,7.92,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,持分移轉
RPUNMLTKQHGGFDQ57DA,16,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,四層 陽台,全筆移轉
RPTNMLOLQHGGFCQ07EA,40,60.03,住家用,鋼筋混凝土加強磚造,70年12月16日,一層,一層,全筆移轉
RPSNMLRKQHGGFCQ07DA,40,127.83,住商用,鋼筋混凝土加強磚造,70年4月12日,三層,一層 二層 三層,全筆移轉
RPROMLKLQHGGFDQ56DA,16,7.54,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,持分移轉
RPROMLKLQHGGFDQ56DA,16,15.37,集合住宅,鋼筋混凝土造,94年8月15日,五層,五層 陽台,全筆移轉
RPRNMLOLQHGGFBQ66DA,32,196.47,住商用,鋼筋混凝土造,78年12月13日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間,全筆移轉
RPQNMLLKQHGGFCQ88DA,27,29.61,共有部分,鋼筋混凝土造,83年8月10日,七層,,持分移轉
RPQNMLLKQHGGFCQ88DA,27,11.75,共有部分,鋼筋混凝土造,83年8月10日,七層,,持分移轉
RPQNMLLKQHGGFCQ88DA,27,86.12,集合住宅,鋼筋混凝土造,83年8月10日,七層,七層 陽台,全筆移轉
RPPNMLOLQHGGFDQ66DA,28,1.95,梯間,鋼筋混凝土造,82年10月6日,九層,,持分移轉
RPPNMLOLQHGGFDQ66DA,28,10.61,梯間,鋼筋混凝土造,82年10月6日,九層,,持分移轉
RPPNMLOLQHGGFDQ66DA,28,4.98,避難室、停車場,鋼筋混凝土造,82年10月6日,9,,持分移轉
RPPNMLOLQHGGFDQ66DA,28,32.58,集合住宅,鋼筋混凝土造,82年10月6日,九層,六層 陽台,全筆移轉
RPQNMLPLQHGGFDQ86DA,17,19.47,住家用,鋼筋混凝土造,93年8月3日,五層,五層 陽台,全筆移轉
RPQNMLPLQHGGFDQ86DA,17,1.30,樓梯間、機械室,鋼筋混凝土造,93年8月3日,五層,,持分移轉
RPQNMLPLQHGGFDQ86DA,17,5.60,樓梯間,鋼筋混凝土造,93年8月3日,五層,,持分移轉
RPQNMLPLQHGGFDQ86DA,17,2.41,樓梯間、機房,鋼筋混凝土造,93年8月3日,五層,,持分移轉
RPQNMLPLQHGGFDQ86DA,17,.90,車道、停車空間,鋼筋混凝土造,93年8月3日,五層,,持分移轉
RPQNMLPLQHGGFDQ86DA,17,.22,停車空間,鋼筋混凝土造,93年8月3日,五層,,持分移轉
RPPNMLMLQHGGFCQ98DA,42,101.86,住家用,鋼筋混凝土加強磚造,68年11月6日,二層,一層 二層 騎樓,全筆移轉
RPVNMLNLQHGGFDQ17DA,4,102.84,集合住宅,鋼筋混凝土造,106年4月21日,十五層,六層 陽台 雨遮,全筆移轉
RPVNMLNLQHGGFDQ17DA,4,16.41,本共有之項目有公共服務空間、管委會使用空間、防災中心、大廳、迴廊、頂蓋型開放空間、車道、機車停車空間、台電配電室﹝一﹞﹝二﹞﹝三﹞、排風機房、守衛室、垃圾儲藏室、垃圾車暫停區、緊急發電機室、泳池機房、泳池水箱、公共水箱、雨水蓄留機房、儲藏室、消防泵浦、汙水機房、採光井﹝上方投影﹞、電信室、地下一層車位﹝２３１、２３２﹞等２６項　,鋼筋混凝土造,106年4月21日,十六層,,持分移轉
RPVNMLNLQHGGFDQ17DA,4,26.83,本共有之項目有梯廳、梯廳兼排煙室、排煙室、Ｄ棟水箱、水錶室、電錶室、垃圾暫存、樓梯間、電梯機房、水箱、消防水箱等１１項,鋼筋混凝土造,106年4月21日,十五層,,持分移轉
RPVNMLNLQHGGFDQ17DA,4,29.87,本共有之項目有車道、防空避難室兼停車空間、停車空間等３項,鋼筋混凝土造,106年4月21日,十六層,,持分移轉
RPUNMLPLQHGGFCQ17DA,,187.50,店舖、住宅,鋼筋混凝土造,110年4月21日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPQNMLOLQHGGFDQ76DA,16,7.92,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,持分移轉
RPQNMLOLQHGGFDQ76DA,16,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,四層 陽台,全筆移轉
RPQOMLRLQHGGFDQ17DA,39,114.36,住家用,鋼筋混凝土加強磚造,71年7月7日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPRNMLLMQHGGFCQ66EA,40,108.75,住家用,鋼筋混凝土加強磚造,70年2月15日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPVNMLKMQHGGFCQ86DA,14,235.36,住宅、停車空間,鋼筋混凝土造,96年7月19日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPSNMLKMQHGGFBQ09DA,15,4.20,共有部分,鋼筋混凝土造,95年8月28日,,,持分移轉
RPSNMLKMQHGGFBQ09DA,15,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,七層 陽台,全筆移轉
RPSNMLKMQHGGFBQ09DA,15,5.72,共有部分,鋼筋混凝土造,95年8月28日,,,持分移轉
RPPNMLQLQHGGFDQ86DA,22,132.56,集合住宅,鋼筋混凝土造,88年5月31日,三層,一層 二層 三層 陽台 雨遮,全筆移轉
RPPNMLSKQHGGFBQ76DA,95,10.33,住家用,木造,15年0月0日,一層,一層,持分移轉
RPRNMLSKQHGGFCQ07DA,42,123.94,住商用,鋼筋混凝土加強磚造,68年12月6日,三層,一層 二層 三層 騎樓 電梯樓梯間,持分移轉
RPTNMLLJRHGGFCQ56DA,16,167.22,住家用,鋼筋混凝土造,94年6月23日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項,全筆移轉
RPVNMLLJRHGGFCQ76DA,40,141.66,住家用,鋼筋混凝土加強磚造,70年12月3日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPPNMLLLQHGGFBQ78DA,1,284.43,住家用,鋼筋混凝土造,109年12月1日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPTNMLLJRHGGFDQ66DA,28,18.48,梯間,鋼筋混凝土造,82年10月6日,九層,,持分移轉
RPTNMLLJRHGGFDQ66DA,28,.31,避難室、停車場,鋼筋混凝土造,82年10月6日,9,,持分移轉
RPTNMLLJRHGGFDQ66DA,28,22.62,避難室、停車場,鋼筋混凝土造,82年10月6日,9,,持分移轉
RPTNMLLJRHGGFDQ66DA,28,2.01,儲藏室,鋼筋混凝土造,82年10月6日,九層,地下層,持分移轉
