編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQOMLRLPHGGFCM56DA,,257.65,住家用,ＲＣ造,110年5月4日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRQMLSKOHGGFAM56DA,,173.47,住宅、樓梯間,鋼筋混凝土造,110年4月26日,三層,一層 二層 三層 陽台 屋頂突出物 見其他登記事項,全筆移轉
RPROMLRLPHGGFCM66DA,,309.91,住家用,ＲＣ造,110年5月4日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPOQMLSKOHGGFAM88DA,,173.47,住宅、樓梯間,鋼筋混凝土造,110年4月26日,三層,一層 二層 三層 陽台 屋頂突出物 見其他登記事項,全筆移轉
RPWNMLRLPHGGFCM07DA,,277.72,住宅、店鋪、停車空間、樓梯間,ＲＣ造,110年5月5日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPTPMLMKPHGGFCM98DA,,80.67,集合住宅,ＲＣ造,110年6月8日,十二層,五層 陽台,全筆移轉
RPTPMLMKPHGGFCM98DA,,61.76,本共有部分之項目有停車空間、管委會使用空間、電梯機房、樓梯間、水管間、水箱間等６項,ＲＣ造,110年6月8日,十二層,,持分移轉
RPXOMLMKPHGGFCM66DA,,62.05,集合住宅,ＲＣ造,110年6月8日,十二層,五層 陽台,全筆移轉
RPXOMLMKPHGGFCM66DA,,52.61,本共有部分之項目有停車空間、管委會使用空間、電梯機房、樓梯間、水管間、水箱間等６項,ＲＣ造,110年6月8日,十二層,,持分移轉
RPSNMLSKQHGGFAM56DA,,163.83,住宅、樓梯間,鋼筋混凝土造,110年6月10日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPRNMLOLOHGGFDM88DA,,198.89,住家用,鋼筋混凝土造,110年5月13日,四層,一層 二層 三層 四層,全筆移轉
RPTNMLOLOHGGFDM09DA,,167.80,住宅、樓梯間,鋼筋混凝土造,110年5月13日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPOOMLOLOHGGFDM68DA,,177.52,住宅、樓梯間,鋼筋混凝土造,110年5月13日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPXTMLMKPHGGFCM17DA,,80.67,集合住宅,ＲＣ造,110年6月8日,十二層,十一層 陽台,全筆移轉
RPXTMLMKPHGGFCM17DA,,61.76,本共有部分之項目有停車空間、管委會使用空間、電梯機房、樓梯間、水管間、水箱間等６項,ＲＣ造,110年6月8日,十二層,,持分移轉
RPQNMLOKPHGGFAM48DA,,183.25,住宅、樓梯間、水箱間,鋼筋混凝土造,110年2月8日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPUOMLMKPHGGFCM98DA,,62.51,集合住宅,ＲＣ造,110年6月8日,十二層,四層 陽台,全筆移轉
RPUOMLMKPHGGFCM98DA,,52.61,本共有部分之項目有停車空間、管委會使用空間、電梯機房、樓梯間、水管間、水箱間等６項,ＲＣ造,110年6月8日,十二層,,持分移轉
RPSNMLOJQHGGFBM78DA,,195.48,住家用,鋼筋混凝土造,110年5月6日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPSOMLOLOHGGFDM09DA,,190.30,住宅、樓梯間,鋼筋混凝土造,110年5月13日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPPQMLSKOHGGFAM98DA,,173.47,住宅、樓梯間,鋼筋混凝土造,110年4月26日,三層,一層 二層 三層 陽台 屋頂突出物 見其他登記事項,全筆移轉
RPTOMLOLOHGGFDM56DA,,186.51,住宅、樓梯間,鋼筋混凝土造,110年5月13日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPOOMLMKQHGGFCM48DA,,177.17,住宅、水箱間,ＲＣ造,110年6月8日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPWOMLOLOHGGFDM86DA,,195.56,住宅、樓梯間,鋼筋混凝土造,110年5月13日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPXOMLOLOHGGFDM96DA,,195.56,住宅、樓梯間,鋼筋混凝土造,110年5月13日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPPNMLTKOHGGFAM78DA,,173.47,住宅、樓梯間,鋼筋混凝土造,110年4月26日,三層,一層 二層 三層 陽台 屋頂突出物 見其他登記事項,全筆移轉
RPPNMLSLOHGGFDM56EA,,205.86,住商用,鋼筋混凝土加強磚造,59年9月0日,三層,一層 二層 三層 騎樓,全筆移轉
