編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLKMJIHGFDJ87DA,27,169.59,住家用,鋼筋混凝土造,85年1月6日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 雨遮,全筆移轉
RPRNMLKMJIHGFDJ97DA,27,208.19,停車場、住宅,鋼筋混凝土造,85年1月6日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 雨遮,全筆移轉
RPXNMLKKJIHGFCJ28DA,32,101.44,住家用,鋼筋混凝土造,79年6月25日,五層,三層 陽台,全筆移轉
RPXNMLKKJIHGFCJ28DA,32,8.15,共有部分,鋼筋混凝土造,79年6月25日,五層,,持分移轉
RPXNMLKKJIHGFCJ28DA,32,12.69,共有部分,鋼筋混凝土造,79年6月25日,五層,,持分移轉
RPTNMLSJJIHGFCJ58DA,,160.68,住家用,鋼筋混凝土造,,二層,一層 二層 陽台 電梯樓梯間,全筆移轉
RPRNMLPKJIHGFCJ18DA,15,.69,社區中心,鋼筋混凝土造,96年10月16日,七層,一層 陽台,持分移轉
RPRNMLPKJIHGFCJ18DA,15,64.91,住家用,鋼筋混凝土造,96年10月16日,十層,四層 陽台 雨遮,全筆移轉
RPRNMLPKJIHGFCJ18DA,15,29.35,共有部分,鋼筋混凝土造,96年10月16日,十層,,持分移轉
RPRNMLPKJIHGFCJ18DA,15,18.25,共有部分,鋼筋混凝土造,96年10月16日,十層,,持分移轉
RPRNMLPKJIHGFCJ18DA,15,13.62,共有部分,鋼筋混凝土造,96年10月16日,十層,,持分移轉
RPTQMLTLJIHGFBJ09DA,16,97.19,住家用,鋼筋混凝土造,95年5月24日,十層,一層 陽台,全筆移轉
RPTQMLTLJIHGFBJ09DA,16,78.80,共有部分,鋼筋混凝土造,95年5月24日,十層,,持分移轉
RPTQMLTLJIHGFBJ09DA,16,14.97,共有部分,鋼筋混凝土造,95年5月24日,十層,,持分移轉
RPUQMLLJKIHGFBJ28DA,,71.15,集合住宅,鋼筋混凝土造,111年6月8日,七層,六層 陽台,全筆移轉
RPUQMLLJKIHGFBJ28DA,,39.36,本共有部分之項目有消防機房、停車空間、梯間、水箱、機房等五項。,鋼筋混凝土造,111年6月8日,七層,,持分移轉
RPUPMLMJKIHGFBJ28DA,7,93.47,住家用,鋼筋混凝土造,104年9月17日,十四層,十三層 陽台 雨遮,全筆移轉
RPUPMLMJKIHGFBJ28DA,7,90.12,本共有部分之項目有停車空間、防空避難兼停車空間、頂蓋型廣場式開放空間、公共服務空間、車道、外廊、管理室、垃圾集中處、梯間、水錶箱室、電梯機房、水箱等十二項。,鋼筋混凝土造,104年9月17日,十四層,,持分移轉
RPUPMLMJKIHGFBJ28DA,7,16.84,本共有部分之項目有樓電梯間一項,鋼筋混凝土造,104年9月17日,十四層,,持分移轉
RPTNMLSLJIHGFBJ68DA,4,52.91,住家用,鋼筋混凝土造,107年10月26日,十五層,九層 陽台 雨遮,全筆移轉
RPTNMLSLJIHGFBJ68DA,4,20.44,本共有部分之項目有公共服務空間、頂蓋型沿街步道、管委會空間、樓梯間、機房等五項。,鋼筋混凝土造,107年10月26日,十五層,,持分移轉
RPTNMLSLJIHGFBJ68DA,4,38.28,本共有部分之項目有停車空間、防空避難室兼停車空間等２項。,鋼筋混凝土造,107年10月26日,十五層,,持分移轉
RPPOMLLKJIHGFBJ57DA,6,98.64,商業用,鋼筋混凝土造,105年6月6日,十四層,一層 陽台 見其他登記事項,全筆移轉
RPPOMLLKJIHGFBJ57DA,6,67.22,本共有部分之項目有台電配電室、停車空間、管理員室、防空避難室兼停車空間、辦公室、機械室、水箱、樓梯間、排煙室、電梯機房、水錶箱室等十一項。,鋼筋混凝土造,105年6月6日,十四層,,持分移轉
RPSPMLTLJIHGFCJ09EA,37,123.76,住家用,鋼筋混凝土造,74年11月7日,二層,一層 二層,全筆移轉
RPPRMLTLJIHGFDJ98DA,,85.78,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPVOMLNLJIHGFDJ68DA,18,20.70,住家用,鋼筋混凝土造,93年7月5日,八層,五層 陽台,全筆移轉
