鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
花壇鄉,房地(土地+建物),彰化縣花壇鄉中正路58巷,70.38,住,,,1111027,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,173.78,4,3,4,有,無,15100000,86891,,0.0,0,一樓有停車空間,RPOOMLKLJIHGFAN77CB,山水璞苑,B棟22號
花壇鄉,房地(土地+建物),彰化縣花壇鄉中正路58巷,76.62,住,,,1111029,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,194.0,4,3,4,有,無,15100000,77835,,0.0,0,一樓有停車空間,RPPOMLKLJIHGFAN87CB,山水璞苑,B棟5號
花壇鄉,房地(土地+建物),彰化縣花壇鄉中正路58巷,73.1,住,,,1111029,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,193.9,4,3,4,有,無,15100000,77875,,0.0,0,一樓有停車空間,RPQOMLKLJIHGFAN97CB,山水璞苑,B棟6號
花壇鄉,房地(土地+建物),彰化縣花壇鄉中正路58巷,70.38,住,,,1111029,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,173.78,4,3,4,有,無,14700000,84590,,0.0,0,一樓有停車空間,RPROMLKLJIHGFAN08CB,山水璞苑,B棟31號
花壇鄉,房地(土地+建物),彰化縣花壇鄉中正路58巷,70.38,住,,,1111030,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,173.78,4,3,4,有,無,14700000,84590,,0.0,0,一樓有停車空間,RPSOMLKLJIHGFAN18CB,山水璞苑,B棟30號
花壇鄉,房地(土地+建物),彰化縣花壇鄉中正路58巷,71.67,住,,,1111101,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,173.78,4,3,4,有,無,14600000,84014,,0.0,0,一樓有停車空間,RPTOMLKLJIHGFAN28CB,山水璞苑,B棟33號
花壇鄉,房地(土地+建物),彰化縣花壇鄉中正路58巷,74.32,住,,,1111105,土地3建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,180.7,4,3,4,有,無,14900000,82457,,0.0,0,一樓有停車空間,RPUOMLKLJIHGFAN38CB,山水璞苑,B棟19號
芬園鄉,房地(土地+建物),彰化縣芬園鄉成功路,50.59,其他,,,1111022,土地8建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.25,2,2,2,有,無,6660000,74622,,0.0,0,,RPVOMLKLJIHGFAN48CB,百居薰園,C5棟5F號
彰化市,房地(土地+建物)+車位,彰化縣彰化市一德南路,42.97,,山坡地保育區,特定目的事業用地,1111029,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,145.38,3,2,2,有,無,10700000,82358,坡道平面,30.03,1200000,,RPRNMLLLJIHGFAN08CB,星湛STAR ONE,3F之Ｂ號
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路三段阿夷段柴坑子小段573地號,28.7,,特定農業區,甲種建築用地,1111101,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.53,3,2,2,有,無,9950000,71670,坡道平面,22.14,1250000,,RPSNMLLLJIHGFAN18CB,盛好大苑,C2棟13號
