鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
五股區,建物,新北市五股區登林路８１之４３號十一樓,0.0,住,,,1110818,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900611,67.84,3,2,1,有,有,有,15000,221,,0.0,0,本案屬國家住宅及都市更新中心辦理社會住宅包租代管第2期計劃原申報序號:C1FB11109090003,RPVNNLNKIIHGFBF97CC
五股區,建物,新北市五股區新五路二段６２０號九樓,0.0,住,,,1110907,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080807,104.53,2,1,1,有,有,無,20500,196,,0.0,0,,RPPONLNKIIHGFBF47CC
五股區,建物,新北市五股區五權路７１號,0.0,,工業區,丁種建築用地,1110926,土地0建物1車位0,三層,4,廠辦,辦公室、樓梯間、工廠、單身員工宿舍、防空避難室,鋼筋混凝土造,0780927,714.7,0,0,0,無,無,無,100000,140,,0.0,0,,RPRQNLNKIIHGFBF87CC
新莊區,建物,新北市新莊區中正路８９３巷１１２號三樓,0.0,住,,,1111007,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0990903,150.43,3,2,2,有,有,有,27000,179,,0.0,0,租金含管理費。租賃範圍不含車位，已扣除車位面積。,RPRRNLNKIIHGFBF97CC
鶯歌區,建物,新北市鶯歌區建國路２４７號,0.0,住,,,1110924,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0680905,72.72,2,2,1,有,無,有,19000,261,,0.0,0,本案為透天案件，本次僅出租第二層，本樓層面積為72.72平方公尺。電費、瓦斯費及每月水費300元皆由承租人負擔。,RPRNMLNKIIHGFIF18CC
三峽區,建物,新北市三峽區民權街１９８號三樓之二,0.0,住,,,1110915,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,60.96,2,2,1,有,有,有,12000,197,,0.0,0,,RPROMLNKIIHGFIF28CC
三重區,建物,新北市三重區中央北路８３號４樓,0.0,商,,,1110914,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730526,105.89,3,1,1,有,無,有,18000,170,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為31600，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為18000。,RPOPMLNKIIHGFGF87CC
三重區,建物,新北市三重區力行路一段１７８巷３號三樓,0.0,住,,,1110918,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720129,85.71,3,2,1,有,無,有,17000,198,,0.0,0,,RPPRMLNKIIHGFGF18CC
蘆洲區,建物,新北市蘆洲區三民路１５７之３號六樓,0.0,住,,,1111007,土地0建物1車位1,六層,17,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050203,136.26999999999998,2,2,1,有,有,有,34000,250,坡道平面,38.99,0,租金含管理費。,RPSRMLNKIIHGFGF48CC
三芝區,建物,新北市三芝區淡金路二段８７巷１號五樓之１２,0.0,住,,,1110930,土地0建物1車位0,五層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870304,33.41,1,0,1,有,有,有,5000,150,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為5556元，選擇代管方案須打9折，實際租賃契約金額為5000元。每月水電費由承租人負擔。,RPXNMLNKIIHGFEF38CC
