鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
線西鄉,房地(土地+建物),彰化縣線西鄉慶濱路１５號,193.55,,工業區,丁種建築用地,1120303,土地1建物1車位0,見其他登記事項,1,店面(店鋪),餐飲店、店舖（連鎖便利商店）,鋼骨造,1110922,96.65,0,0,0,無,無,無,15750,163,,0.0,0,,RPQNMLTJLHIGFBN98CC
線西鄉,房地(土地+建物),彰化縣線西鄉慶濱路１５號,193.55,,工業區,丁種建築用地,1120303,土地1建物1車位0,見其他登記事項,1,店面(店鋪),餐飲店、店舖（連鎖便利商店）,鋼骨造,1110922,96.65,0,0,0,無,無,無,18000,186,,0.0,0,,RPRNMLTJLHIGFBN09CC
線西鄉,房地(土地+建物),彰化縣線西鄉慶濱路１３號,197.5,,工業區,丁種建築用地,1120303,土地1建物1車位0,見其他登記事項,1,店面(店鋪),餐飲店、店舖（連鎖便利商店）,鋼骨造,1110922,99.29,0,0,0,無,無,有,20000,201,,0.0,0,,RPSNMLTJLHIGFBN56CC
線西鄉,房地(土地+建物),彰化縣線西鄉慶濱路１３號,395.0,,工業區,丁種建築用地,1120303,土地1建物1車位0,見其他登記事項,1,店面(店鋪),餐飲店、店舖（連鎖便利商店）,鋼骨造,1110922,198.58,0,0,0,無,無,無,42000,212,,0.0,0,,RPTNMLTJLHIGFBN66CC
線西鄉,房地(土地+建物),彰化縣線西鄉慶濱路１５號,193.55,,工業區,丁種建築用地,1120303,土地1建物1車位0,見其他登記事項,1,店面(店鋪),餐飲店、店舖（連鎖便利商店）,鋼骨造,1110922,96.65,0,0,0,無,無,無,12600,130,,0.0,0,,RPUNMLTJLHIGFBN76CC
和美鎮,房地(土地+建物),彰化縣和美鎮湖內里工東三路１０-１號,731.73,,工業區,丁種建築用地,1120306,土地1建物1車位0,一層,1,倉庫,廠房，工廠,鋼筋混凝土造，鋼骨造有牆,0840525,558.7,0,0,0,無,無,無,126525,,,0.0,0,廠房與厚固光電股份有限公司共同承租租金平均分擔,RPPNMLNKLHIGFBN48DC
彰化市,建物,彰化縣彰化市埔西街６０巷２４號,0.0,住,,,1120314,土地0建物0車位0,二層,3,套房(1房1廳1衛),住家用,鋼筋混凝土加強磚造,0680605,13.2,1,0,1,有,無,有,5500,417,,0.0,0,短期租賃,RPPNMLPKLHIGFAN48CC
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮員鹿路湖東巷８２之６號,95.0,住,,,1120311,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0750619,102.09,3,2,2,有,無,無,18000,176,,0.0,0,,RPPNMLQKLHIGFHN66CC
彰化市,房地(土地+建物),彰化縣彰化市埔西街６０巷２４號,0.0,住,,,1120211,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0680605,14.87,1,0,1,有,無,有,5500,370,,0.0,0,,RPPNMLRKLHIGFAN68CC
和美鎮,建物,彰化縣和美鎮彰新路三段６３６巷４６弄１１號,0.0,,鄉村區,乙種建築用地,1120304,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0861216,146.83,5,2,4,有,無,無,18000,123,,0.0,0,,RPPNMLKLLHIGFBN18CC
員林市,土地,益民段718-8地號,75.85,住,,,1120311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,20000,264,,0.0,0,,RPPNMLKLLHIGFDN38CC
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮忠工３０６號,172.0,工,,,1120318,土地1建物1車位0,全,2,透天厝,工業用,加強磚造,0710624,128.52,7,2,3,有,無,無,12000,93,,0.0,0,,RPQNMLKLLHIGFHN88CC
溪湖鎮,土地,福安段939地號,367.0,住,,,1120318,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,5000,14,,0.0,0,地上物有平房，出租範圍約12坪,RPRNMLKLLHIGFHN98CC
員林市,土地,員林段214地號,143.0,商,,,1120308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,25000,175,,0.0,0,未保存登記建物地址：彰化縣員林市光明里中正路384號1-2層全棟，約62.8坪，房屋稅籍編號：N05080174001。,RPQNMLMLLHIGFDN68CC
員林市,建物,彰化縣員林市惠安街２４號７樓之５,0.0,商,,,1120322,土地0建物1車位0,七層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810613,23.4,1,1,1,有,無,有,7500,321,,0.0,0,,RPPNMLSLLHIGFDN56CC
彰化市,房地(土地+建物),彰化縣彰化市中山路一段３７５號８樓,21.64,住,,,1120327,土地1建物1車位0,八層,12,辦公商業大樓,辦公室,鋼筋混凝土造,0850304,195.05,3,2,1,有,有,有,15000,77,,0.0,0,,RPPNMLSLLHIGFAN88CC
溪湖鎮,建物,彰化縣溪湖鎮彰水路四段１４８巷３-１號１樓,0.0,住,,,1120325,土地0建物0車位0,一層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860703,5.47,1,0,1,有,有,有,5500,1005,,0.0,0,,RPPNMLSLLHIGFHN96CC
埔心鄉,房地(土地+建物),彰化縣埔心鄉柳橋東路２９３號,2752.56,,特定農業區,丁種建築用地,1120325,土地5建物1車位0,一層,1,工廠,工業用,磚造,0650603,73.2,0,0,2,有,無,無,200000,,,0.0,0,平房部分約20坪未出租，由出租人自用。,RPQNMLSLLHIGFHN17DC
彰化市,土地,西勢子段過溝子小段29地號,610.37,住,,,1120326,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,35016,57,,0.0,0,租賃期間含免租金建置期,RPRNMLLMLHIGFAN68EC
彰化市,土地,西勢子段過溝子小段313地號,1033.08,住,,,1120326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,59268,57,,0.0,0,租賃期間含免租金建置期,RPSNMLLMLHIGFAN78EC
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮久安一街１１號,82.0,住,,,1120319,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0810515,89.82,6,2,3,有,無,無,12000,134,,0.0,0,,RPQNMLRJMHIGFHN86CC
埔心鄉,房地(土地+建物),彰化縣埔心鄉仁三路９３巷１號,96.08,,特定農業區,甲種建築用地,1120313,土地2建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0860826,123.44,5,2,4,有,無,無,15000,122,,0.0,0,,RPPNMLLKMHIGFHN88CC
福興鄉,房地(土地+建物),彰化縣福興鄉彰水路３６２號,91.0,,特定農業區,甲種建築用地,1120407,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0630530,135.46,5,2,2,有,無,無,15000,111,,0.0,0,,RPPNMLLKMHIGFCN38CC
彰化市,建物,彰化縣彰化市金馬路一段６５７號,0.0,住,,,1120330,土地0建物1車位0,全,2,透天厝,作業廠房、住宅,加強磚造,0700601,124.27,3,2,1,有,無,有,30000,241,,0.0,0,房屋用途做廠房使用。,RPPNMLLKMHIGFAN18CC
彰化市,建物,彰化縣彰化市永福街４號,0.0,商,,,1120330,土地0建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土加強磚造,0630827,49.15,0,1,1,有,無,無,22000,448,,0.0,0,部分承租。,RPQNMLLKMHIGFAN28CC
員林市,房地(土地+建物),彰化縣員林市莒光路１４９巷４３號,91.77,住,,,1120408,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0640129,78.57,2,1,2,有,無,無,10000,127,,0.0,0,,RPSNMLLKMHIGFDN78CC
和美鎮,房地(土地+建物),彰化縣和美鎮和光路１４５巷１８號,119.0,住,,,1120324,土地1建物0車位0,二層,3,套房(1房1廳1衛),住商用,鋼筋混凝土加強磚造,0690930,20.0,1,0,1,有,無,有,6500,325,,0.0,0,內附傢俱有含冷氣.電視.冰箱.雙人床組.書桌.衣櫥.椅子.電熱水器.各1,RPPNMLNKMHIGFBN48CC
和美鎮,房地(土地+建物),彰化縣和美鎮忠信路８９號,79.0,住,,,1120411,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0700501,163.8,5,2,3,有,無,有,12000,73,,0.0,0,內附傢俱含四台冷氣.2台電熱水器,RPQNMLNKMHIGFBN58CC
員林市,房地(土地+建物),彰化縣員林市大同一段７號二樓至四樓,59.2,住,,,1120326,土地1建物1車位0,全,5,透天厝,人行道、店舖、住宅、水箱間,鋼筋混凝土造,1010518,189.45,4,2,5,有,無,有,14000,74,,0.0,0,,RPPNMLRKMHIGFDN09CC
員林市,房地(土地+建物),彰化縣員林市大同路一段７號一樓,14.8,住,,,1120326,土地1建物1車位0,一層,5,店面(店鋪),人行道、店舖、住宅、水箱間,鋼筋混凝土造,1010518,49.27,0,1,1,有,無,無,18000,365,,0.0,0,,RPQNMLRKMHIGFDN56CC
大村鄉,房地(土地+建物),彰化縣大村鄉山腳路５７之１００號,76.54,,鄉村區,乙種建築用地,1120416,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0960725,145.61,1,0,1,有,無,有,3600,25,,0.0,0,,RPRNMLRKMHIGFDN66CC
員林市,房地(土地+建物),彰化縣員林市惠來街２３號,76.0,住,,,1120330,土地1建物1車位0,全,3,透天厝,住家用,加強磚造,0690808,163.89,4,2,3,有,無,無,20000,122,,0.0,0,,RPPNMLSKMHIGFDN56CC
員林市,房地(土地+建物),彰化縣員林市至善街１３０號,38.4,住,,,1120414,土地1建物1車位0,見其他登記事項,3,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850824,156.57,3,2,2,有,無,無,18000,115,,0.0,0,,RPQNMLSKMHIGFDN66CC
田尾鄉,房地(土地+建物),彰化縣田尾鄉延平路１５１巷２７號,55.65,,鄉村區,乙種建築用地,1120305,土地1建物1車位0,全,1,透天厝,住家用,磚石造,0630128,55.65,2,1,1,有,無,無,7500,135,,0.0,0,本件土地承租範圍僅就建物坐落之面積承租，本案已於112年3月25日申報序號C1NF11203250001,RPPNMLTKMHIGFFN86CC
花壇鄉,建物,彰化縣花壇鄉花壇街１５１號二樓之３,0.0,其他,,,1120410,土地0建物1車位1,二層,6,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100924,120.22,3,2,2,有,有,有,12000,100,其他,12.18,0,,RPPNMLKLMHIGFAN18CC
線西鄉,房地(土地+建物),彰化縣線西鄉彰濱東七路６號,5722.26,,工業區,丁種建築用地,1120401,土地1建物1車位0,見其他登記事項,5,工廠,避難室，辦公室，員工單身宿舍，梯間,鋼筋混凝土造,0910429,1335.22,0,0,0,無,無,無,136500,,,0.0,0,,RPPNMLLLMHIGFBN38CC
線西鄉,房地(土地+建物),彰化縣線西鄉彰化縣線西鄉慶濱路１５號,193.55,,工業區,丁種建築用地,1120401,土地1建物1車位0,見其他登記事項,1,店面(店鋪),餐飲店、店舖（連鎖便利商店）,鋼骨造,1110922,96.65,0,0,0,無,無,無,12600,130,,0.0,0,,RPPNMLPLMHIGFBN78CC
彰化市,建物,彰化縣彰化市曉陽路２６２之１號十樓之三,0.0,住,,,1120414,土地0建物0車位0,十層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830203,32.32,1,0,1,有,有,有,6000,186,,0.0,0,,RPPNMLRLMHIGFAN88CC
彰化市,建物,彰化縣彰化市曉陽路２６２之１號十樓之三,0.0,住,,,1120414,土地0建物0車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830203,15.81,1,0,0,有,有,有,6000,380,,0.0,0,,RPQNMLRLMHIGFAN98CC
彰化市,建物,彰化縣彰化市曉陽路２６２之１號十樓之三,0.0,住,,,1120414,土地0建物0車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830203,16.9,1,0,0,有,有,有,6000,355,,0.0,0,,RPRNMLRLMHIGFAN09CC
彰化市,房地(土地+建物),彰化縣彰化市中正路二段２３８號,144.0,商,,,1120427,土地2建物1車位0,見其他登記事項,3,店面(店鋪),住家用,鋼骨混凝土造,0890522,362.51,0,0,0,無,無,無,90000,248,,0.0,0,,RPPNMLTLMHIGFAN09CC
彰化市,建物,彰化縣彰化市中正路二段６６６巷６７弄１０號,0.0,住,,,1120426,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0681123,165.6,6,2,3,有,無,有,18000,109,,0.0,0,,RPPNMLLJNHIGFAN18CC
大村鄉,房地(土地+建物),彰化縣大村鄉山腳路５７之１００號,76.54,,鄉村區,乙種建築用地,1120501,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0960725,145.61,1,0,1,有,無,有,3100,21,,0.0,0,,RPPNMLMJNHIGFDN58CC
福興鄉,房地(土地+建物),彰化縣福興鄉中正路１６６號,434.0,住,,,1120203,土地2建物1車位0,全,5,透天厝,住宅、停車空間,鋼筋混凝土造,0870611,245.75,0,0,0,無,無,有,75000,305,,0.0,0,原申報書序號C1NC11202130001增加備註事項，112/3/1至113/2/28每月租金為7.5萬，113/3/1至115/2/28每月租金為8萬，115/3/1至117/2/28每月租金為9萬。,RPQNMLMJNHIGFCN58CC
彰化市,房地(土地+建物),彰化縣彰化市彰馬路２７５巷１弄３號,81.0,住,,,1120505,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0780920,148.05,6,2,3,有,無,有,16000,108,,0.0,0,,RPPNMLSJNHIGFAN88CC
大村鄉,土地,上美段338地號,1458.97,,特定農業區,農牧用地,1110426,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,18000,12,,0.0,0,含未登記建物,RPPNMLTJNHIGFDN66CC
和美鎮,建物,彰化縣和美鎮彰新路三段６３６巷４６弄１１６號,0.0,,鄉村區,乙種建築用地,1120429,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830602,193.04,3,2,3,有,無,有,15000,78,,0.0,0,,RPPNMLTJNHIGFBN09CC
彰化市,房地(土地+建物),彰化縣彰化市埔陽街２７２號１４樓之１,26.01,住,,,1120413,土地1建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091119,126.41,3,2,2,有,有,有,26000,206,,0.0,0,,RPRNMLKKNHIGFAN38CC
北斗鎮,房地(土地+建物),彰化縣北斗鎮中山路二段５１９巷２８號,3927.0,工,,,1120427,土地3建物2車位0,見其他登記事項,1,廠辦,工業用,加強磚造,,1686.25,0,0,0,無,無,有,100000,59,,0.0,0,因廠房老舊，需整理，所以112年6月1日至114年10月30日止計租金每月10萬，114年11月1日起至118年5月31日止每月租金20萬。,RPPNMLKKNHIGFFN78DC
